data,stato,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en
<<<<<<< HEAD
2020-05-02T17:00:00,ITA,17357,1539,18896,81808,100704,-239,1900,79914,28710,209328,2108837,1429864,,
=======
2020-05-02T17:00:00,ITA,17357,1539,18896,81808,100704,-239,1900,79914,28710,209328,2108837,1429864,dc-IT-0017,dc-EN-0017
>>>>>>> c986b32ec52c99a6105af6224b4d5ead6d94c71e
